ranking,movieTitle,movieYear,rating,movieLength,runtime,genre,releaseDate,summary
1,The Shawshank Redemption,1994,9.3,2h 22min,142,Drama,14-Oct-94,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,The Godfather,1972,9.2,2h 55min,175,"Crime,Drama",24-Mar-72,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
3,The Godfather: Part II,1974,9,3h 22min,202,"Crime,Drama",18-Dec-74,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
4,The Dark Knight,2008,9,2h 32min,152,"Action,Crime,Drama",18-Jul-08,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5,12 Angry Men,1957,9,1h 36min,96,"Crime,Drama",10-Apr-57,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6,Schindler's List,1993,8.9,3h 15min,195,"Biography,Drama,History",04-Feb-94,"In German-occupied Poland during World War II, industrialistOskar Schindlergradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
7,The Lord of the Rings: The Return of the King,2003,8.9,3h 21min,201,"Action,Adventure,Drama",17-Dec-03,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8,Pulp Fiction,1994,8.9,2h 34min,154,"Crime,Drama",14-Oct-94,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,"The Good, the Bad and the Ugly",1966,8.8,2h 58min,161,Western,29-Dec-67,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,2h 58min,178,"Action,Adventure,Drama",19-Dec-01,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
11,Fight Club,1999,8.8,2h 19min,139,Drama,15-Oct-99,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
12,Forrest Gump,1994,8.8,2h 22min,142,"Drama,Romance",06-Jul-94,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
13,Inception,2010,8.8,2h 28min,148,"Action,Adventure,Sci-Fi",16-Jul-10,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
14,The Lord of the Rings: The Two Towers,2002,8.7,2h 59min,179,"Action,Adventure,Drama",18-Dec-02,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2h 4min,124,"Action,Adventure,Fantasy",20-Jun-80,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
16,The Matrix,1999,8.7,2h 16min,136,"Action,Sci-Fi",31-Mar-99,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
17,Goodfellas,1990,8.7,2h 26min,146,"Biography,Crime,Drama",21-Sep-90,"The story ofHenry Hilland his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
18,One Flew Over the Cuckoo's Nest,1975,8.7,2h 13min,133,Drama,19-Nov-75,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
19,Seven Samurai,1954,8.6,3h 27min,207,"Action,Adventure,Drama",19-Nov-56,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
20,Se7en,1995,8.6,2h 7min,127,"Crime,Drama,Mystery",22-Sep-95,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
21,The Silence of the Lambs,1991,8.6,1h 58min,118,"Crime,Drama,Thriller",14-Feb-91,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
22,City of God,2002,8.6,2h 10min,130,"Crime,Drama",13-Feb-04,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
23,It's a Wonderful Life,1946,8.6,2h 10min,130,"Drama,Family,Fantasy",07-Jan-47,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
24,Life Is Beautiful,1997,8.6,1h 56min,116,"Comedy,Drama,Romance",20-Dec-97,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
25,Star Wars: Episode IV - A New Hope,1977,8.6,2h 1min,121,"Action,Adventure,Fantasy",25-May-77,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
26,Saving Private Ryan,1998,8.6,2h 49min,169,"Drama,War",24-Jul-98,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
27,Spirited Away,2001,8.6,2h 5min,125,"Animation,Adventure,Family",28-Mar-03,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
28,Interstellar,2014,8.6,2h 49min,169,"Adventure,Drama,Sci-Fi",07-Nov-14,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
29,The Green Mile,1999,8.6,3h 9min,189,"Crime,Drama,Fantasy",10-Dec-99,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
30,Parasite,2019,8.6,2h 12min,132,"Comedy,Drama,Thriller",08-Nov-19,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
31,Léon: The Professional,1994,8.5,1h 50min,110,"Action,Crime,Drama",18-Nov-94,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
32,Hara-Kiri,1962,8.6,2h 13min,133,"Action,Drama,Mystery",04-Aug-64,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
33,The Usual Suspects,1995,8.5,1h 46min,106,"Crime,Mystery,Thriller",16-Aug-95,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
34,The Pianist,2002,8.5,2h 30min,150,"Biography,Drama,Music",28-Mar-03,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
35,Back to the Future,1985,8.5,1h 56min,116,"Adventure,Comedy,Sci-Fi",03-Jul-85,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
36,Terminator 2: Judgment Day,1991,8.5,2h 17min,137,"Action,Sci-Fi",03-Jul-91,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg."
37,Psycho,1960,8.5,1h 49min,109,"Horror,Mystery,Thriller",08-Sep-60,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
38,Modern Times,1936,8.5,1h 27min,87,"Comedy,Drama,Family",25-Feb-36,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
39,The Lion King,1994,8.5,1h 28min,88,"Animation,Adventure,Drama",24-Jun-94,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
40,American History X,1998,8.5,1h 59min,119,Drama,20-Nov-98,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
41,City Lights,1931,8.5,1h 27min,87,"Comedy,Drama,Romance",07-Mar-31,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
42,Gladiator,2000,8.5,2h 35min,155,"Action,Adventure,Drama",05-May-00,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
43,Whiplash,2014,8.5,1h 46min,106,"Drama,Music",15-Oct-14,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
44,The Departed,2006,8.5,2h 31min,151,"Crime,Drama,Thriller",06-Oct-06,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
45,Grave of the Fireflies,1988,8.5,1h 29min,89,"Animation,Drama,War",26-Jul-89,A young boy and his little sister struggle to survive in Japan during World War II.
46,The Intouchables,2011,8.5,1h 52min,112,"Biography,Comedy,Drama",02-Nov-11,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
47,The Prestige,2006,8.5,2h 10min,130,"Drama,Mystery,Sci-Fi",20-Oct-06,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
48,Casablanca,1942,8.5,1h 42min,102,"Drama,Romance,War",23-Jan-43,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
49,Once Upon a Time in the West,1968,8.5,2h 45min,165,Western,04-Jul-69,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
50,Rear Window,1954,8.5,1h 52min,112,"Mystery,Thriller",01-Sep-54,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
51,Cinema Paradiso,1988,8.5,2h 35min,155,"Drama,Romance",23-Feb-90,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
52,Alien,1979,8.4,1h 57min,117,"Horror,Sci-Fi",22-Jun-79,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
53,Apocalypse Now,1979,8.4,2h 27min,147,"Drama,Mystery,War",15-Aug-79,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
54,Memento,2000,8.4,1h 53min,113,"Mystery,Thriller",25-May-01,A man with short-term memory loss attempts to track down his wife's murderer.
55,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,1h 55min,115,"Action,Adventure",12-Jun-81,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant beforeAdolf Hitler's Nazis can obtain its awesome powers."
56,The Great Dictator,1940,8.4,2h 5min,125,"Comedy,Drama,War",07-Mar-41,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
57,The Lives of Others,2006,8.4,2h 17min,137,"Drama,Mystery,Thriller",30-Mar-07,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
58,Django Unchained,2012,8.4,2h 45min,165,"Drama,Western",25-Dec-12,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
59,Paths of Glory,1957,8.4,1h 28min,88,"Drama,War",25-Dec-57,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
60,Sunset Blvd.,1950,8.4,1h 50min,110,"Drama,Film-Noir",29-Sep-50,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
61,WALL·E,2008,8.4,1h 38min,98,"Animation,Adventure,Family",27-Jun-08,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
62,The Shining,1980,8.4,2h 26min,144,"Drama,Horror",13-Jun-80,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
63,Witness for the Prosecution,1957,8.4,1h 56min,116,"Crime,Drama,Mystery",06-Feb-58,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
64,Avengers: Infinity War,2018,8.4,2h 29min,149,"Action,Adventure,Sci-Fi",27-Apr-18,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
65,Joker,2019,8.4,2h 2min,122,"Crime,Drama,Thriller",04-Oct-19,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,1h 35min,95,Comedy,29-Jan-64,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
67,Spider-Man: Into the Spider-Verse,2018,8.4,1h 57min,117,"Animation,Action,Adventure",14-Dec-18,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
68,Oldboy,2003,8.4,2h,120,"Action,Drama,Mystery",21-Nov-03,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
69,Princess Mononoke,1997,8.4,2h 14min,134,"Animation,Action,Adventure",19-Dec-97,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
70,Hamilton,2020,8.4,2h 40min,160,"Biography,Drama,History",03-Jul-20,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
71,Your Name.,2016,8.4,1h 46min,106,"Animation,Drama,Fantasy",07-Apr-17,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
72,Once Upon a Time in America,1984,8.4,3h 49min,229,"Crime,Drama",01-Jun-84,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
73,The Dark Knight Rises,2012,8.4,2h 44min,164,"Action,Adventure",20-Jul-12,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
74,Aliens,1986,8.3,2h 17min,137,"Action,Adventure,Sci-Fi",18-Jul-86,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
75,Coco,2017,8.4,1h 45min,105,"Animation,Adventure,Drama",22-Nov-17,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
76,Pather Panchali,1955,8.6,2h 5min,125,Drama,26-Aug-55,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
77,Das Boot,1981,8.3,2h 29min,149,"Adventure,Drama,Thriller",10-Feb-82,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
78,Capharnaüm,2018,8.4,2h 6min,126,Drama,20-Sep-18,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
79,Avengers: Endgame,2019,8.4,3h 1min,181,"Action,Adventure,Drama",26-Apr-19,"After the devastating events ofAvengers: Infinity War(2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
80,High and Low,1963,8.4,2h 23min,143,"Crime,Drama,Mystery",26-Nov-63,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
81,American Beauty,1999,8.3,2h 2min,122,Drama,01-Oct-99,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
82,Toy Story,1995,8.3,1h 21min,81,"Animation,Adventure,Comedy",22-Nov-95,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
83,Braveheart,1995,8.3,2h 58min,178,"Biography,Drama,History",24-May-95,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
84,Amadeus,1984,8.3,2h 40min,160,"Biography,Drama,History",19-Sep-84,"The life, success and troubles ofWolfgang Amadeus Mozart, as told byAntonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
85,3 Idiots,2009,8.4,2h 50min,170,"Comedy,Drama",25-Dec-09,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
86,Inglourious Basterds,2009,8.3,2h 33min,153,"Adventure,Drama,War",21-Aug-09,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
87,Good Will Hunting,1997,8.3,2h 6min,126,"Drama,Romance",09-Jan-98,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
88,Star Wars: Episode VI - Return of the Jedi,1983,8.3,2h 11min,131,"Action,Adventure,Fantasy",25-May-83,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
89,2001: A Space Odyssey,1968,8.3,2h 29min,149,"Adventure,Sci-Fi",24-Jun-70,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
90,Reservoir Dogs,1992,8.3,1h 39min,99,"Crime,Drama,Thriller",02-Sep-92,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
91,M,1931,8.3,1h 39min,117,"Crime,Mystery,Thriller",31-Aug-31,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
92,Like Stars on Earth,2007,8.4,2h 45min,165,"Drama,Family",21-Dec-07,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
93,Citizen Kane,1941,8.3,1h 59min,119,"Drama,Mystery",05-Sep-41,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
94,Vertigo,1958,8.3,2h 8min,128,"Mystery,Romance,Thriller",22-May-58,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
95,Requiem for a Dream,2000,8.3,1h 42min,102,Drama,15-Dec-00,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
96,The Hunt,2012,8.3,1h 55min,115,Drama,10-Jan-13,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
97,Come and See,1985,8.3,2h 22min,142,"Drama,Thriller,War",17-Oct-85,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
98,Singin' in the Rain,1952,8.3,1h 43min,103,"Comedy,Musical,Romance",11-Apr-52,A silent film production company and cast make a difficult transition to sound.
99,North by Northwest,1959,8.3,2h 16min,136,"Adventure,Mystery,Thriller",18-Dec-59,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.
100,Eternal Sunshine of the Spotless Mind,2004,8.3,1h 48min,108,"Drama,Romance,Sci-Fi",19-Mar-04,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
101,Bicycle Thieves,1948,8.3,1h 29min,89,Drama,13-Dec-49,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
102,Ikiru,1952,8.3,2h 23min,143,Drama,25-Mar-56,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
103,Lawrence of Arabia,1962,8.3,3h 48min,187,"Adventure,Biography,Drama",11-Dec-62,"The story ofT.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
104,The Father,2020,8.3,1h 37min,97,Drama,26-Feb-21,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
105,The Kid,1921,8.3,1h 8min,68,"Comedy,Drama,Family",06-Feb-21,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
106,Full Metal Jacket,1987,8.3,1h 56min,116,"Drama,War",10-Jul-87,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
107,Dangal,2016,8.4,2h 41min,161,"Action,Biography,Drama",21-Dec-16,Former wrestlerMahavir Singh Phogatand his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
108,A Clockwork Orange,1971,8.3,2h 16min,136,"Crime,Drama,Sci-Fi",02-Feb-72,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
109,Taxi Driver,1976,8.3,1h 54min,114,"Crime,Drama",09-Feb-76,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
110,Metropolis,1927,8.3,2h 33min,153,"Drama,Sci-Fi",13-Mar-27,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
111,The Sting,1973,8.3,2h 9min,129,"Comedy,Crime,Drama",25-Dec-73,Two grifters team up to pull off the ultimate con.
112,Double Indemnity,1944,8.3,1h 47min,107,"Crime,Drama,Film-Noir",06-Jul-44,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
113,1917,2019,8.3,1h 59min,119,"Drama,Thriller,War",10-Jan-20,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
114,The Apartment,1960,8.3,2h 5min,125,"Comedy,Drama,Romance",29-Jun-60,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
115,A Separation,2011,8.3,2h 3min,123,Drama,16-Mar-11,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
116,Amélie,2001,8.3,2h 2min,122,"Comedy,Romance",08-Feb-02,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
117,Incendies,2010,8.3,2h 11min,131,"Drama,Mystery,War",12-Jan-11,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
118,Snatch,2000,8.3,1h 42min,104,"Comedy,Crime",19-Jan-01,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
119,Scarface,1983,8.3,2h 50min,170,"Crime,Drama",09-Dec-83,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
120,Toy Story 3,2010,8.2,1h 43min,103,"Animation,Adventure,Comedy",18-Jun-10,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
121,To Kill a Mockingbird,1962,8.3,2h 9min,129,"Crime,Drama",16-Mar-63,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
122,For a Few Dollars More,1965,8.2,2h 12min,132,Western,10-May-67,Two bounty hunters with the same intentions team up to track down a Western outlaw.
